Date,AAPL,BAC,DIS,FB,INTC,JNJ,JPM,MSFT,TSLA,V,high_1,high_2,high_3,low_3,low_2,low_1,Total_by_highest,high_3_unit,high_2_unit,high_1_unit,Total_by_lowest,low_3_unit,low_2_unit,low_1_unit
2015-01-02,100.45429585346139,16.55271176228106,87.89975510597836,78.45,31.626549236984065,91.1119148991777,55.12812445250443,41.97916371416497,219.31,63.99939701756194,TSLA,AAPL,JNJ,MSFT,INTC,BAC,100.0,0.3658504309806156,0.3318258622006433,0.15199185323666653,100.0,0.7940447208595943,1.0539668138803255,2.0137687293806783
2015-01-05,97.6243385569402,16.071850861924293,86.61524668469632,77.19,31.269924231836555,90.4755611116117,53.41667363736826,41.588638987568274,210.09,62.586686759646554,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.42677178581162,0.3589432350157881,0.3326587516526822,0.1545794211779263,98.34569233773509,0.7882416506996274,1.0483523146031728,2.039708912653928
2015-01-06,97.63352672998086,15.590989961567525,86.15582396467575,76.15,30.68714678440038,90.03098517783269,52.03163354470653,40.98265234284925,211.28,62.18340024157498,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.45420029930622,0.36081726051244434,0.33272108998933464,0.1537520514629973,96.2762560744771,0.783065114714532,1.0457826393450447,2.058373806747835
2015-01-07,99.00256451303818,15.664968561622413,87.03716550920502,76.15,31.33081142783735,92.01850111707998,52.11103074747058,41.50335197831152,210.95,63.01653706034559,TSLA,AAPL,JNJ,MSFT,INTC,BAC,98.57609992216285,0.35708797225730105,0.3318974628149854,0.15576534711568754,97.50940671653163,0.7831448310286463,1.0374176119581202,2.074893125020793
2015-01-08,102.80646815186861,15.988624936862545,87.93725900149025,78.175,31.913588875273522,92.74202665636736,53.275523054676626,42.724302847671325,210.615,63.861748325765056,TSLA,AAPL,JNJ,MSFT,INTC,BAC,100.04478676510011,0.35958090908016394,0.32437902842621125,0.15833754602014752,99.74172405448786,0.7781810149140463,1.0417894860222296,2.0794309381066807
2015-01-09,102.91672622835645,15.701957861649856,88.3685537998769,77.74,31.974476071274317,91.47803625640746,52.34922235576273,42.36519965080079,206.66,62.91511170849525,TSLA,AAPL,JNJ,MSFT,INTC,BAC,98.99982036123151,0.36074167604465895,0.3206470058830738,0.15968228065620105,98.92960401978145,0.7783873307590362,1.0313393282739793,2.1001543223983363
2015-01-12,100.38079046913616,15.424538111444027,88.56544925131429,76.72,31.835305337558218,91.16421795021053,51.89930487343312,41.83552243541676,202.21,62.79195235267699,TSLA,AAPL,JNJ,MSFT,INTC,BAC,97.36288666225465,0.3559981787131641,0.3233118149638753,0.1604979751450714,97.79115344739519,0.7791716046919972,1.0239277055299618,2.11332429623593
2015-01-13,101.27204325407952,15.211849636286226,89.24989534440618,76.45,31.748323628985652,91.321127103309,51.90812678485135,41.61557172733356,204.25,62.9754839417395,TSLA,AAPL,JNJ,MSFT,INTC,BAC,98.03431445976875,0.357837291944011,0.32267646400633426,0.1599907212725724,97.08123139786272,0.7776034095597819,1.01927934350555,2.1273159569472715
2015-01-14,100.88613998637209,14.832709311004928,88.34980185212096,76.28,31.617851066126807,90.65862179022658,50.11727876695114,41.25646853046303,192.69,61.71491171159962,TSLA,AAPL,JNJ,MSFT,INTC,BAC,95.82323071285356,0.3523225510552369,0.3166052037336267,0.16576406094911267,95.86245227548304,0.7745246235726642,1.0106363867570947,2.154303039889442
2015-01-15,98.14806442025743,14.05593401042861,88.46231353865662,74.05,31.478680332410704,89.34232833923386,48.51169088883371,40.830033484179275,191.87,61.128093604465526,TSLA,AAPL,JNJ,MSFT,INTC,BAC,94.35665534383644,0.35204162497893543,0.3204568386929274,0.16392462838351737,93.71810743297415,0.765107605322667,0.9923976740587949,2.222503970290917
